Id,Text,Party
19787529402_10151539234804403,More regulations and stifling job creation is not good for America.,Republican
19787529402_10151438053704403,"In todayÛªs challenging budgetary environment, strategic spending is more critical than ever before. This Subcommittee continues to find this AdministrationÛªs efforts to spend less where the proven benefits are exponential, and more on some of the same funding areas to maintain the status quo.   We will remind the Administration once again that our constituents expect us to make smarter, forward-looking decisions when investing their hard earned taxpayer dollars.",Republican
307227745970624_720429937983734,"I want to thank my fellow Nevadans for their participation in numerous town halls, individual and group meetings, and facility tours during the past four weeks. Listening to the feedback of the people who hired me has been more productive and helpful than most anything else undertaken in Washington, D.C. this year. IÛªm bringing all those opinions back with me and IÛªm eager to continue to represent the views of Northern Nevada in the U.S. House.",Republican
307227745970624_702188556474539,"Appreciated the time of Ranch Manager Ben Patterson and his family in Newark Valley to discus ranching, sage hen, public lands, and federal land management agencies.",Republican
307227745970624_472683686135110,"Veterans' town hall in Carson City on Monday, April 29, from 12:00 p.m. to 1:30 p.m., in the Carson City Veterans Hall, 198 South Carson Street.",Republican
307227745970624_469502873099078,"Sat down for a chat with Lori Gilbert, News 10, in Elko:",Republican
307227745970624_123688024465491,"After what was a long week in Washington, D.C., I'm happy to be back home and spending time with normal people. We're crisscrossing Northern Nevada, from Owyhee to McDermitt, from Elko to Carson City, making stops at schools, the U.S. Forest Service, a fire department, a police department, tribal councils, county commissions, a chamber of commerce, a Rotary Club, a veterans' town hall, you name it. You cannot substitute getting together face-to-face with the Nevadans who gave you the job.",Republican
15617630596_10203005477835973,Inconvenient Facts: President Obama Offers Plan to Destroy Jobs for Low-Income Americans...LIKE and SHARE! ,Republican
15617630596_10202753826224840,Will we hear more empty promises tonight? LIKE and SHARE this VIDEO from House Republicans!,Republican
15617630596_10202622494061618,LIKE and SHARE! House Passes First Anti-Obamacare Bill of 2014...The legislation would require victims of security breaches through HealthCare.gov insurance exchanges to be notified within two days!,Republican
15617630596_10153488437620597,"PERSONAL UPDATE from the CONGRESSMAN: ""I want to thank the team at the Pizza Inn in Italy, Texas ÛÒ especially manager Sandy Mackovich - for going above and beyond today. They worked with my office to help us feed the hundreds of people forced from their homes because of todayÛªs pipeline explosion in Milford.  We just hope this pizza gives evacuees a little bit of comfort during this difficult time.""",Republican
15617630596_10153410103895597,LIKE and SHARE!,Republican
